rank,eligible,eligibility_reasons,distribution_ready,distribution_readiness_reasons,apn,site_apns,site_type,parcel_count,residential_zoning,SITUS_ADD,SITUS_CTY,FID,centroid_lon,centroid_lat,score,gross_acres,screenable_acres,excluded_acres,wetland_exclusion_acres,protected_exclusion_acres,farmland_exclusion_acres,city_exclusion_acres,improvement_value,improvement_value_per_acre,flat_fraction,open_fraction,contiguous_acres,mean_slope_deg,estimated_mw,reference_project_mw,reference_battery_mwh,reference_annual_mwh,reference_average_kw,static_pv_export_limit_mw,reference_export_gap_mw,interconnection_path,screened_project_mw,screened_annual_mwh,transmission_distance_m,transmission_Name,transmission_kV,transmission_Owner,transmission_Status,transmission_Type,highway_1_side,highway_1_distance_m,highway_1_viewshed_exposure,highway_1_visible_length_m,highway_1_nearest_visible_distance_m,pge_distance_m,pge_FeederId,pge_FeederName,pge_CSV_LineSection,pge_GenCapacity_kW,pge_GenericPVCapacity_kW,pge_voltage_kv,pge_phase_cnt,pge_ICA_Analysis_Date,pge_Feeder_Name,pge_Substation,pge_Nominal_Voltage,pge_ResCust,pge_ComCust,pge_IndCust,pge_AgrCust,pge_OthCust,pge_Existing_DG,pge_Queued_DG,pge_Total_DG,pge_profile_min_load_kw,pge_profile_peak_load_kw,pge_profile_min_midday_load_kw,fire_hazard,solar_kwh_m2_day,annual_mwh_per_mw,LCP_CODE,GEN_PLAN,BASEZONE,score_contiguous_land,score_flat_fraction,score_open_land_cover,score_undeveloped,score_industrial_reuse,score_distribution_proximity,score_residential_demand,score_evening_peak_demand,score_grid_hosting_capacity,score_solar_resource,score_transmission_proximity,score_low_highway_visibility
1.0,True,,False,insufficient_static_pv_ica,"0172613300,0172613400,0172613500","0172613300,0172613400,0172613500",industrial_assemblage,3,False,32600 HOLQUIST LN,FORT BRAGG,"43835,57340,57343",-123.8057611961366,39.38512736269699,0.8521849021086265,35.96619664941646,21.584206841901334,14.381989807515126,14.381989807514428,0.0,0.0,0.0,74896.0,2082.3997802729905,1.0,0.6979166666666666,11.342137009342888,2.5464303277759757,2.062206728971434,1.0,4.0,1545.7377699999997,176.4540833333333,0.26,0.74,controlled_export_or_distribution_upgrade,0.26,401.8918201999999,322.8000339786598,PG&E 60kV,60,PG&E,Operational,OH,east,428.8350181113726,0.0,0.0,,445.809745735998,042761102,FORT BRAGG A 1102,4670503,190.0,260.0,12,3.0,May 2026,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,High,4.9243,1545.7377699999997,R,I,I,0.5671068504671444,1.0,0.6979166666666666,0.791760021972701,1.0,0.6403055813410268,1.0,0.839344262295082,0.13,1.0,0.72411863901465,1.0
2.0,True,,False,insufficient_static_pv_ica,0151305600,0151305600,greenfield,1,False,29901 N HWY 1,WESTPORT,7997,-123.7567920141605,39.555833336972256,0.8068167447244985,38.27789516438118,26.624087460123697,11.653807704257481,11.653807704256675,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.8181818181818182,17.346797778995008,7.521223862488281,3.153963232544547,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,13617.346899157226,PG&E 60kV,60,PG&E,Operational,OH,east,413.0790127400473,0.0073075094554665735,2100.0,436.22100404502555,0.0,042761101,FORT BRAGG A 1101,4096791,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RL160,RL,0.8673398889497503,0.7272727272727273,0.8181818181818182,1.0,0.0,1.0,0.7824175824175824,1.0,0.0695,1.0,1.2191619040782116e-06,0.8173122636133356
3.0,True,,False,insufficient_static_pv_ica,0692100400,0692100400,greenfield,1,False,25901 N HWY 1,FORT BRAGG,61769,-123.76669132049705,39.498270772802044,0.7938814896852135,81.08119203904512,68.56704774192141,12.514144297123707,12.51414429712684,0.0,0.0,0.0,16703.0,206.00338475483406,0.9411764705882353,0.3790849673202614,14.678059659149621,5.116513962220327,2.668738119845386,1.0,4.0,1545.7377699999997,176.4540833333333,0.227,0.773,controlled_export_or_distribution_upgrade,0.227,350.88247378999995,7103.361522887836,PG&E 60kV,60,PG&E,Operational,OH,east,203.24291684399432,0.0005550526616420775,100.0,545.6327944350512,308.9693196662058,042761101,FORT BRAGG A 1101,4587834,151.0,227.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RL160,RL,0.733902982957481,0.9411764705882353,0.3790849673202614,0.9793996615245166,0.0,0.7342032952828925,0.7824175824175824,1.0,0.1135,1.0,0.0008223359707375217,0.9861236834589481
4.0,True,,False,insufficient_static_pv_ica,1180300900,1180300900,greenfield,1,True,16000 HARRIS LN,CASPAR,24299,-123.80199964091456,39.36907670285918,0.789982275997954,35.50771986864629,21.09728985003443,14.410430018611862,14.175334215668329,0.2352079195046348,0.0,0.0,0.0,0.0,1.0,0.5544554455445545,12.009321539304235,2.7323221905187083,2.1835130071462245,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,6.1516524589638815,PG&E 60kV,60,PG&E,Operational,OH,east,463.01169526128064,0.0,0.0,,801.8953538075859,042761102,FORT BRAGG A 1102,4488344,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RMR20,RMR,0.6004660769652117,1.0,0.5544554455445545,1.0,0.0,0.44847813332162534,1.0,0.839344262295082,0.1595,1.0,0.9938672302152998,1.0
5.0,True,,False,insufficient_static_pv_ica,0151407500,0151407500,greenfield,1,False,28800 CAMP 2 TEN MILE RD,FORT BRAGG,7353,-123.72732188221671,39.557220048746224,0.7832691615841711,236.96634229356687,192.2156893226685,44.75065297089836,44.75065297090225,0.0,0.0,0.0,192637.0,812.9297947357888,0.28004667444574094,0.24737456242707118,16.67961324903366,20.132475751208943,3.0326569543697564,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,13866.335724485378,PG&E 60kV,60,PG&E,Operational,OH,east,2369.824634103386,0.0,0.0,,0.0,042761101,FORT BRAGG A 1101,5219044,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,Moderate,4.9243,1545.7377699999997,R,FL160,TP,0.833980662451683,0.28004667444574094,0.24737456242707118,0.9187070205264212,0.0,1.0,0.7824175824175824,1.0,0.0695,1.0,9.504448255826266e-07,1.0
6.0,True,,False,insufficient_static_pv_ica,1180600900,1180600900,greenfield,1,True,44800 FERN CREEK RD,CASPAR,23462,-123.80574033587847,39.36625122151411,0.7759351452268093,18.39876360553915,17.50567980899508,0.8930837965440688,0.8930837965453323,0.0,0.0,0.0,27078.0,1471.729328151587,1.0,0.8421052631578947,14.233269972508722,1.4577654592486144,2.5878672677288588,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,1.456113421006884,PG&E 60kV,60,PG&E,Operational,OH,east,138.27591250113062,0.008571708082990109,400.0,342.44507014590255,492.32481092453935,042761102,FORT BRAGG A 1102,4456041,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RMR20,RMR,0.7116634986254361,1.0,0.8421052631578947,0.8528270671848412,0.0,0.6112038079133334,1.0,0.839344262295082,0.1595,1.0,0.9985449461977698,0.7857072979252473
7.0,True,,False,insufficient_static_pv_ica,1181405800,1181405800,greenfield,1,True,13911 POINT CABRILLO DR,MENDOCINO,24520,-123.81046706863154,39.352307697913794,0.7654226436573686,28.558092585366182,22.732098712616466,5.8259938727497165,5.825993872750602,0.0,0.0,0.0,110751.0,3878.0951377947185,1.0,0.9807692307692307,22.684274018685777,1.8221041392082356,4.124413457942868,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,81.55771981040341,PG&E 60kV,60,PG&E,Operational,OH,west,18.88009972953973,0.021680928381266423,700.0,46.0803334305323,7.753449414210188,042761102,FORT BRAGG A 1102,3330975,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RR10PD,RR,1.0,1.0,0.9807692307692307,0.6121904862205281,0.0,0.9922765310406809,1.0,0.839344262295082,0.1595,1.0,0.9216795091520138,0.4579767904683394
8.0,True,,False,insufficient_static_pv_ica,0690201400,0690201400,greenfield,1,False,NONE, ,8827,-123.74603353340078,39.53519397273677,0.7624613384040355,46.17155580875486,21.92305163720013,24.248504171554732,24.248504171555332,0.0,0.0,0.0,0.0,0.0,0.73,0.61,11.342137009342888,6.129961838240704,2.062206728971434,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,11593.783841926297,PG&E 60kV,60,PG&E,Operational,OH,east,627.0461419182699,0.0,0.0,,589.3786027563104,042761101,FORT BRAGG A 1101,3194911,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.5671068504671444,0.73,0.61,1.0,0.0,0.5546718492259682,0.7824175824175824,1.0,0.0695,1.0,9.2232430457098e-06,1.0
9.0,True,,False,insufficient_static_pv_ica,1181504500,1181504500,greenfield,1,True,13911 POINT CABRILLO DR,MENDOCINO,53964,-123.80571438526584,39.35194152525032,0.7623438741658474,46.69412239732415,39.08989505834986,7.60422733897429,7.604227338975008,0.0,0.0,0.0,0.0,0.0,0.9244186046511628,0.5174418604651163,18.6811668389177,4.312261654129663,3.3965757888941273,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,38.3088678224262,0.02052992767013174,500.0,67.63839783004721,344.3229604573066,042761102,FORT BRAGG A 1102,3369386,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,High,4.9243,1545.7377699999997,R,RR10PD,RR,0.934058341945885,0.9244186046511628,0.5174418604651163,1.0,0.0,0.7087000090065991,1.0,0.839344262295082,0.1595,1.0,1.0,0.4867518082467065
10.0,True,,False,insufficient_static_pv_ica,1180901200,1180901200,greenfield,1,True,44661 CASPAR ORCHARD RD,CASPAR,24109,-123.8057719452791,39.36347109081693,0.7606315602683452,30.236103035313672,29.129360084127455,1.1067429511862166,1.1067429511855071,0.0,0.0,0.0,0.0,0.0,1.0,0.8721804511278195,25.797801825172062,2.479578312673893,4.690509422758557,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,2.732441838649983,PG&E 60kV,60,PG&E,Operational,OH,east,58.3859096482875,0.025086431642534563,600.0,119.35778804909599,448.58523843062045,042761102,FORT BRAGG A 1102,4456041,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RR10,RR,1.0,1.0,0.8721804511278195,1.0,0.0,0.6385308818496876,1.0,0.839344262295082,0.1595,1.0,0.9972712878826953,0.3728392089366359
11.0,True,,True,,0691421100,0691421100,greenfield,1,True,25100 N HWY 1,FORT BRAGG,61732,-123.7769638136477,39.50062723888964,0.7581924189981609,39.38815340687613,29.34603451407874,10.042118892797387,10.042143347568226,8.443189040868315e-05,0.0,0.0,21751.0,552.2218768499782,0.9375,0.96875,25.797801825172062,5.126667218409326,4.690509422758557,1.0,4.0,1545.7377699999997,176.4540833333333,0.649,0.351,controlled_export_or_distribution_upgrade,0.649,1003.1838127299999,7281.834853568505,PG&E 60kV,60,PG&E,Operational,OH,east,8.217112732590621,0.014452678099367048,2100.0,36.892873528708996,971.1763845218859,042761101,FORT BRAGG A 1101,3637370,418.0,649.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RMR40,RMR,1.0,0.9375,0.96875,0.9447778123150021,0.0,0.3786373528848588,0.7824175824175824,1.0,0.3245,1.0,0.0006879221685289062,0.6386830475158238
12.0,True,,True,,0691420200,0691420200,greenfield,1,True,24950 N HWY 1,FORT BRAGG,15270,-123.77957199047314,39.500569326690446,0.7579882740418352,12.054736724334264,12.054736724334264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9516129032258065,13.121295755906479,4.514709773216939,2.3856901374375417,1.0,4.0,1545.7377699999997,176.4540833333333,0.649,0.351,controlled_export_or_distribution_upgrade,0.649,1003.1838127299999,7241.404637365967,PG&E 60kV,60,PG&E,Operational,OH,west,6.525920177053245,0.007890208375273416,1400.0,101.30298331278253,924.5209657453686,042761101,FORT BRAGG A 1101,3637370,418.0,649.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RMR40,RMR,0.656064787795324,1.0,0.9516129032258065,1.0,0.0,0.39672141671182226,0.7824175824175824,1.0,0.3245,1.0,0.0007163049045070619,0.8027447906181646
13.0,True,,False,insufficient_static_pv_ica,1180503000,1180503000,greenfield,1,True,15101 CASPAR RD,CASPAR,58533,-123.81253837163808,39.36647951493556,0.7564646121869006,23.05020078323936,21.30036292615128,1.7498378570880817,1.7498378570872684,0.0,0.0,0.0,0.0,0.0,1.0,0.7653061224489796,16.67961324903366,3.0094950105378055,3.0326569543697564,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_distribution_upgrade,0.319,493.09034862999994,185.64196770365987,PG&E 60kV,60,PG&E,Operational,OH,west,10.462375675154428,0.028064534024198434,900.0,30.46882611173208,5.53310741816199,042761102,FORT BRAGG A 1102,3843127,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RMR20,RMR,0.833980662451683,1.0,0.7653061224489796,1.0,0.0,0.9944821720267626,1.0,0.839344262295082,0.1595,1.0,0.8305709129652787,0.2983866493950392
14.0,True,,False,insufficient_static_pv_ica,1181405700,1181405700,greenfield,1,True,14011 POINT CABRILLO DR,MENDOCINO,15543,-123.81060117389536,39.35477050214436,0.7476127437601825,10.916746730119044,10.916722313822207,2.4416296836804463e-05,0.0,2.4416296723755424e-05,0.0,0.0,0.0,0.0,1.0,1.0,10.674952479381542,1.1918546361099598,1.9409004507966439,1.0,4.0,1545.7377699999997,176.4540833333333,0.319,0.681,controlled_export_or_transmission_study,0.319,493.09034862999994,98.79293348436204,PG&E 60kV,60,PG&E,Operational,OH,west,41.18652867400932,0.02458198628764122,1000.0,184.8834412686492,1.5506364852631824,042761102,FORT BRAGG A 1102,3330975,229.0,319.0,12,3.0,Oct 2025,FORT BRAGG A 1102,FORT BRAGG A,12,2730,272,37,11,27,2555,2892,5447,1146.0,3840.0,1146.0,Moderate,4.9243,1545.7377699999997,R,RR10PD,RR,0.533747623969077,1.0,1.0,1.0,0.0,0.9984505651303216,1.0,0.839344262295082,0.1595,1.0,0.9059302764290613,0.3854503428089695
15.0,True,,False,insufficient_static_pv_ica,0151306600,0151306600,greenfield,1,False,NONE, ,61447,-123.76137661463032,39.56652846837441,0.7352524537771703,43.252569112216435,25.052198330491652,18.200370781724782,18.20037078172283,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8240740740740741,13.566085442547378,8.622049530674476,2.4665609895540688,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,14623.019149353875,PG&E 60kV,60,PG&E,Operational,OH,east,149.55901110557406,0.01458484506572259,1500.0,440.6467139660541,330.54047308801,042761101,FORT BRAGG A 1101,4070839,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,0.6783042721273689,0.6666666666666666,0.8240740740740741,1.0,0.0,0.7185352794855825,0.7824175824175824,1.0,0.0695,1.0,4.459677712298337e-07,0.6353788733569352
16.0,True,,False,insufficient_static_pv_ica,0153303400,0153303400,greenfield,1,False,NONE, ,14388,-123.7653061369498,39.57275967673316,0.7326724023012882,56.25945608738126,52.93450427062734,3.3249518167539165,3.324951816752848,0.0,0.0,0.0,0.0,0.0,0.5933609958506224,0.6846473029045643,25.797801825172062,11.029059079963039,4.690509422758557,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,15281.326900600707,PG&E 60kV,60,PG&E,Operational,OH,east,305.654295815101,0.026596594026560092,2200.0,427.49556796272753,56.23514940091127,042761101,FORT BRAGG A 1101,4070839,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.5933609958506224,0.6846473029045643,1.0,0.0,0.9453168190689116,0.7824175824175824,1.0,0.0695,1.0,2.3088942963655282e-07,0.33508514933599776
17.0,True,,False,insufficient_static_pv_ica,0690521100,0690521100,greenfield,1,True,27051 N HWY 1,FORT BRAGG,4358,-123.75692282109436,39.52440041081305,0.7325854876112557,41.477354665680316,32.971241926419474,8.506112739260843,8.506112739262838,0.0,0.0,0.0,92993.0,2242.0185845879264,0.8472222222222222,0.5277777777777778,16.67961324903366,5.821679461345208,3.0326569543697564,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,10276.908036960147,PG&E 60kV,60,PG&E,Operational,OH,east,11.107525028269079,0.01928459830686409,1000.0,85.33340024936686,10.640799996822292,042761101,FORT BRAGG A 1101,3910846,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,Moderate,4.9243,1545.7377699999997,R,RR10,RR,0.833980662451683,0.8472222222222222,0.5277777777777778,0.7757981415412074,0.0,0.9894156130448626,0.7824175824175824,1.0,0.0695,1.0,3.441878603560589e-05,0.5178850423283978
18.0,True,,False,insufficient_static_pv_ica,0151306700,0151306700,greenfield,1,False,NONE, ,14088,-123.75935698845691,39.561724048053705,0.7282583536556375,122.26203007244587,82.05910233721636,40.20292773522951,40.20292773522859,0.0,0.0,0.0,4251.0,34.76958461659018,0.5896739130434783,0.6902173913043478,18.45877199559725,10.587680787055524,3.3561403628358635,1.0,4.0,1545.7377699999997,176.4540833333333,0.139,0.861,controlled_export_or_distribution_upgrade,0.139,214.85755002999997,14142.850011509998,PG&E 60kV,60,PG&E,Operational,OH,east,8.308817288994497,0.020196651725056445,1200.0,216.3832291054182,369.5685007041299,042761101,FORT BRAGG A 1101,4450987,97.0,139.0,12,3.0,May 2026,FORT BRAGG A 1101,FORT BRAGG A,12,2136,484,66,3,25,1684,2188,3872,1706.0,4575.0,1901.0,High,4.9243,1545.7377699999997, ,FL160,FL,0.9229385997798625,0.5896739130434783,0.6902173913043478,0.996523041538341,0.0,0.6910324463283878,0.7824175824175824,1.0,0.0695,1.0,7.208390101333473e-07,0.49508370687358894
19.0,True,,False,insufficient_static_pv_ica,1273000600,1273000600,greenfield,1,False,NONE, ,34038,-123.70740919520235,39.115509752901474,0.727420752852956,64.93875672954722,48.80588937100555,16.132867358541674,16.13286735854168,0.0,0.0,0.0,0.0,0.0,0.7031963470319634,0.7442922374429224,23.351458548647123,8.276192034382488,4.245719736117659,1.0,4.0,1545.7377699999997,176.4540833333333,0.0,1.0,controlled_export_or_transmission_study,0.0,0.0,0.0,PG&E 60kV,60,PG&E,Operational,OH,east,10.469231228515692,0.0,0.0,,0.0,042981101,ELK 1101,3115816,0.0,0.0,12,3.0,May 2026,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.7031963470319634,0.7442922374429224,1.0,0.0,1.0,0.4824175824175824,0.5171584699453552,0.0,1.0,1.0,1.0
20.0,True,,False,insufficient_static_pv_ica,1233701200,1233701200,greenfield,1,False,NONE, ,48177,-123.75617100096815,39.206062383946936,0.7136636978764707,128.94342984755227,118.97129952118686,9.972130326365402,9.972130326365209,0.0,0.0,0.0,0.0,0.0,0.5317164179104478,0.5764925373134329,56.93307989003489,12.431867844992512,10.351469070915435,1.0,4.0,1545.7377699999997,176.4540833333333,0.45,0.55,controlled_export_or_distribution_upgrade,0.45,695.5819965,203.375496323936,PG&E 60kV,60,PG&E,Operational,OH,west,290.6003332762611,0.0007490094430360088,500.0,1079.2750680432541,0.0,042981101,ELK 1101,3641610,320.0,450.0,12,3.0,Apr 2025,ELK 1101,ELK,12,1317,177,25,16,17,1024,1163,2187,873.0,2366.0,873.0,Moderate,4.9243,1545.7377699999997,R,RL160,RL,1.0,0.5317164179104478,0.5764925373134329,1.0,0.0,1.0,0.4824175824175824,0.5171584699453552,0.225,1.0,0.8159717894860348,0.9812747639240997
